u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,length,geometry,bearing,layer_height,stroke_group,edge_interior_angle
2457060663,33182052,0,237844085,True,,,Pelikangasse,residential,30,91.509,"LINESTRING (16.3480464 48.2152931, 16.348051 48.2153425, 16.348099 48.2161153)",2.4,height 2,82,"{(33182052, 33182051, 0): 92.389, (33182052, 27028195, 0): 179.46300000000002, (33182053, 33182052, 0): 88.233, (2457060663, 68164549, 0): 90.19, (2457060680, 2457060663, 0): 172.45499999999998, (2509699390, 2457060663, 0): 89.168}"
2457060663,68164549,0,"[243583618, 237844082]",True,"['2', '1']",,Alser Straße,secondary,50,173.81600000000003,"LINESTRING (16.3480464 48.2152931, 16.3473692 48.2153539, 16.3467483 48.2154138, 16.3462002 48.2154612, 16.3461522 48.2154653, 16.3460621 48.2154694, 16.3458909 48.2154735, 16.3457204 48.215491)",277.3,height 1,111,"{(33182051, 68164549, 0): 88.868, (68164549, 249607807, 0): 176.848, (68164549, 685158, 0): 94.081, (2457060663, 33182052, 0): 90.19, (2457060680, 2457060663, 0): 82.265, (2509699390, 2457060663, 0): 179.358}"
2457060680,2457060663,0,237844085,True,,,Pelikangasse,residential,30,15.027,"LINESTRING (16.347909 48.2152117, 16.3480082 48.2152364, 16.348039 48.2152607, 16.3480464 48.2152931)",48.4,height 1,82,"{(685158, 2457060680, 0): 161.387, (2457060663, 33182052, 0): 172.45499999999998, (2457060663, 68164549, 0): 82.265, (2457060680, 2457060660, 0): 18.0, (2509699390, 2457060663, 0): 98.377}"
2457060680,2457060660,0,237844090,True,1,,Alser Straße,secondary,50,120.84,"LINESTRING (16.347909 48.2152117, 16.3481994 48.2151913, 16.3485937 48.2151636, 16.349098 48.2151188, 16.3491375 48.2151143, 16.3495221 48.2150586)",98.1,height 1,17,"{(685158, 2457060680, 0): 179.387, (218245323, 2457060660, 0): 25.68, (2457060660, 2457966745, 0): 179.885, (2457060680, 2457060663, 0): 18.0}"
2457966717,2509699390,0,237926034,True,,,Alser Straße,secondary,50,7.975,"LINESTRING (16.3510541 48.2150283, 16.3510255 48.2150301, 16.3509869 48.2150328, 16.350947 48.2150354)",275.7,height 1,111,"{(33182054, 2509699390, 0): 85.598, (2457966717, 2507416947, 0): 96.825, (2457966745, 2457966717, 0): 50.57, (2509699390, 2457966745, 0): 109.072, (2509699390, 2457060663, 0): 179.828}"
2457966717,2507416947,0,243315940,True,,,Spitalgasse,secondary,50,87.924,"LINESTRING (16.3510541 48.2150283, 16.3510587 48.2150533, 16.3510741 48.2151844, 16.3511126 48.2154117, 16.3511727 48.215815)",5.7,height 2,17,"{(2457966717, 2509699390, 0): 96.825, (2457966745, 2457966717, 0): 147.39499999999998, (2507416947, 33182054, 0): 87.99, (2507416947, 2507416950, 0): 179.543}"
2457966745,2457966717,0,39814210,True,,,Alser Straße,secondary,50,12.418,"LINESTRING (16.3509955 48.2149257, 16.3510176 48.2149661, 16.3510189 48.2149784, 16.3510204 48.2149922, 16.3510541 48.2150283)",20.8,height 2,17,"{(2457060660, 2457966745, 0): 116.89, (2457966717, 2509699390, 0): 50.57, (2457966717, 2507416947, 0): 147.39499999999998, (2509699390, 2457966745, 0): 52.60300000000001}"
2460734402,1381612046,0,238226968,True,1,,Nussdorfer Straße,secondary,50,121.50099999999999,"LINESTRING (16.3534004 48.2222791, 16.3534461 48.2223596, 16.3535251 48.2225443, 16.3538267 48.2233337)",15.1,height 2,17,"{(25778306, 2460734402, 0): 176.45600000000002, (1381612046, 1381660570, 0): 177.905, (2460734402, 2521182222, 0): 111.45400000000001}"
2460734402,2521182222,0,238226970,True,1,,Währinger Straße,secondary,50,15.006999999999998,"LINESTRING (16.3534004 48.2222791, 16.3533822 48.2222817, 16.3533422 48.2222873, 16.3533302 48.222289, 16.3532905 48.2222946, 16.3532384 48.2223019, 16.3532022 48.222307)",281.9,height 1,133,"{(25778306, 2460734402, 0): 65.002, (1381612043, 2521182222, 0): 71.123, (2460734402, 1381612046, 0): 111.45400000000001, (2521182222, 2382977342, 0): 111.47, (2521182222, 251207322, 0): 154.96, (2521182222, 25778306, 0): 126.717}"
2487786197,237990840,0,27657700,True,,,Bennogasse,residential,30,95.98599999999999,"LINESTRING (16.3422031 48.2108117, 16.3422019 48.2108246, 16.3421967 48.2108789, 16.3423068 48.2116714)",4.6,height 2,62,"{(33144360, 2487786197, 0): 175.708, (237990820, 237990840, 0): 95.349, (237990835, 237990840, 0): 84.458, (237990840, 33144300, 0): 177.488, (2487786197, 314318424, 0): 100.78299999999999, (2487955438, 2487786197, 0): 88.935}"
