u,v,key,geometry,stroke_group,edge_interior_angle,int_bearing_diff
264060498,264056406,0,"LINESTRING (16.3316128 48.2142205, 16.3315755 48.2142146, 16.3315134 48.2142047, 16.3308366 48.2140971)",1,"{(264056409, 264060498, 0): 178.668, (264056406, 264054981, 0): 178.563, (264056023, 264060498, 0): 110.548, (264060498, 33079232, 0): 91.928, (264056406, 264055200, 0): 105.23599999999999}",0
264056406,264054981,0,"LINESTRING (16.3308366 48.2140971, 16.330559 48.2140458, 16.3300755 48.2139552)",1,"{(264060498, 264056406, 0): 178.563, (264054981, 264056404, 0): 179.715, (264054982, 264054981, 0): 107.738, (264054981, 33144925, 0): 85.756, (264056406, 264055200, 0): 85.733}",0
264054981,264056404,0,"LINESTRING (16.3300755 48.2139552, 16.3293391 48.213821, 16.3291457 48.2137866, 16.3290349 48.2137669)",1,"{(264056406, 264054981, 0): 179.715, (264056404, 33079240, 0): 179.95, (264054982, 264054981, 0): 86.797, (264054981, 33144925, 0): 106.697, (264056404, 33144928, 0): 80.648}",0
264056404,33079240,0,"LINESTRING (16.3290349 48.2137669, 16.3289213 48.2137466, 16.3283203 48.213639)",1,"{(264054981, 264056404, 0): 179.95, (33079240, 33079241, 0): 179.257, (264056404, 33144928, 0): 100.86200000000001, (33174084, 33079240, 0): 85.40299999999999, (33079240, 7800238148, 0): 103.232}",0
33079240,33079241,0,"LINESTRING (16.3283203 48.213639, 16.3276011 48.2135006, 16.3272018 48.2134238)",1,"{(264056404, 33079240, 0): 179.257, (33079241, 8074083217, 0): 179.275, (33079231, 33079241, 0): 93.864, (33079241, 33174083, 0): 81.173, (33174084, 33079240, 0): 95.34, (33079240, 7800238148, 0): 82.189}",0
33079241,8074083217,0,"LINESTRING (16.3272018 48.2134238, 16.3268816 48.213358, 16.3267211 48.2133315, 16.3265162 48.2132976)",1,"{(33079240, 33079241, 0): 179.275, (248526743, 8074083217, 0): 86.15899999999999, (33079231, 33079241, 0): 85.411, (33079241, 33174083, 0): 103.672, (8074083217, 2285939391, 0): 179.269, (8074083217, 2383639011, 0): 99.122}",3
25276596,33242275,0,"LINESTRING (16.3243013 48.2133556, 16.3243007 48.2133695, 16.3242984 48.2134259, 16.3242599 48.2143725)",1,"{(33242275, 33242116, 0): 179.832, (68228729, 33242275, 0): 90.279, (2285939391, 25276596, 0): 100.853}",0
33242275,33242116,0,"LINESTRING (16.3242599 48.2143725, 16.3242506 48.2145858, 16.3242361 48.2150027, 16.324231 48.2150935, 16.3242206 48.2152776)",1,"{(25276596, 33242275, 0): 179.832, (33242116, 33242077, 0): 176.71699999999998, (254353386, 33242116, 0): 88.243, (68228729, 33242275, 0): 94.54700000000001}",0
33242116,33242077,0,"LINESTRING (16.3242206 48.2152776, 16.3242212 48.2159656, 16.3242213 48.2160136, 16.3242213 48.2160287)",1,"{(33242275, 33242116, 0): 176.71699999999998, (33242077, 218288749, 0): 88.603, (254353386, 33242116, 0): 88.574}",0
33242077,218288749,0,"LINESTRING (16.3242213 48.2160287, 16.3251111 48.216007, 16.3252347 48.2160043, 16.3252987 48.2159997, 16.3253816 48.2159913, 16.3254745 48.2159814)",1,"{(33242116, 33242077, 0): 88.603, (218288749, 685169, 0): 176.799, (33242098, 218288749, 0): 98.217, (218288749, 254353386, 0): 80.336}",7
218288749,685169,0,"LINESTRING (16.3254745 48.2159814, 16.3255619 48.215977, 16.3265935 48.2159369, 16.3267495 48.2159307)",1,"{(33242077, 218288749, 0): 176.799, (33242098, 218288749, 0): 78.58200000000001, (218288749, 254353386, 0): 102.865, (33174088, 685169, 0): 103.042, (685169, 248526742, 0): 77.247}",1
1381612052,33344336,0,"LINESTRING (16.354067 48.2244517, 16.3539639 48.224465, 16.3539039 48.2244727, 16.3531711 48.2245671)",2,"{(1381612052, 1381612048, 0): 66.638, (33344336, 28982560, 0): 179.578, (33344336, 33344335, 0): 89.874, (28982569, 1381612052, 0): 112.301}",0
33344336,28982560,0,"LINESTRING (16.3531711 48.2245671, 16.3526099 48.2246436, 16.3525355 48.2246537)",2,"{(1381612052, 33344336, 0): 179.578, (28982560, 28982559, 0): 179.996, (33344336, 33344335, 0): 104.976, (28982564, 28982560, 0): 69.588, (28982560, 28982561, 0): 110.599}",0
28982560,28982559,0,"LINESTRING (16.3525355 48.2246537, 16.3524677 48.2246629, 16.3516697 48.2247717)",2,"{(33344336, 28982560, 0): 179.996, (28982559, 26405238, 0): 179.155, (28982564, 28982560, 0): 110.416, (28982560, 28982561, 0): 69.397, (28982563, 28982559, 0): 69.081}",0
28982559,26405238,0,"LINESTRING (16.3516697 48.2247717, 16.3509293 48.2248838, 16.3507849 48.224925)",2,"{(28982560, 28982559, 0): 179.155, (26405238, 378727, 0): 172.34099999999998, (26405238, 33345337, 0): 89.257, (28982563, 28982559, 0): 110.074, (26405240, 26405238, 0): 90.305}",10
26405238,378727,0,"LINESTRING (16.3507849 48.224925, 16.3499189 48.2250508, 16.3498014 48.2250679)",2,"{(28982559, 26405238, 0): 172.34099999999998, (378727, 1371563077, 0): 179.045, (26405238, 33345337, 0): 83.084, (1629378075, 378727, 0): 94.76, (378727, 392847, 0): 87.004, (26405240, 26405238, 0): 97.354}",0
378727,1371563077,0,"LINESTRING (16.3498014 48.2250679, 16.3496886 48.2250824, 16.3496259 48.2250905, 16.3495868 48.2250955, 16.3492843 48.2251346, 16.349248 48.2251393, 16.3491889 48.2251459, 16.349148 48.2251509, 16.3490743 48.2251617)",2,"{(1371563077, 655018, 0): 94.192, (26405238, 378727, 0): 179.045, (655032, 1371563077, 0): 87.427, (1629378075, 378727, 0): 84.285, (378727, 392847, 0): 93.951, (1371563077, 394751, 0): 178.579}",1
394751,251207329,0,"LINESTRING (16.3480705 48.2253177, 16.347338 48.2254393)",2,"{(251207329, 33344812, 0): 179.928, (33344253, 251207329, 0): 98.466, (392442, 394751, 0): 88.365, (1371563077, 394751, 0): 179.94299999999998, (394751, 393373, 0): 93.879}",0
251207329,33344812,0,"LINESTRING (16.347338 48.2254393, 16.3459567 48.2256704)",2,"{(394751, 251207329, 0): 179.928, (33344812, 2423479559, 0): 179.941, (33344253, 251207329, 0): 81.60600000000001, (33344812, 33344811, 0): 95.246}",0
33344812,2423479559,0,"LINESTRING (16.3459567 48.2256704, 16.3456122 48.2257284, 16.3455604 48.2257375, 16.3455082 48.2257485, 16.3454545 48.2257664, 16.3454164 48.2257831, 16.3453543 48.2258154, 16.3452769 48.2258621, 16.3451272 48.2259554, 16.3449781 48.2260476, 16.3449502 48.2260656, 16.3448793 48.2261085, 16.3447929 48.226154, 16.3447748 48.2261631, 16.3447167 48.2261887, 16.3446212 48.2262304, 16.3445467 48.2262568, 16.3444687 48.2262835, 16.3443998 48.2263023, 16.3443157 48.2263246)",2,"{(251207329, 33344812, 0): 179.941, (2423479559, 33344816, 0): 178.095, (33344812, 33344811, 0): 84.813, (33344809, 2423479559, 0): 97.352}",8
2423479559,33344816,0,"LINESTRING (16.3443157 48.2263246, 16.3437171 48.2264622, 16.3436328 48.2264804, 16.3435543 48.2264915)",2,"{(33344812, 2423479559, 0): 178.095, (33344816, 33344817, 0): 177.23499999999999, (33344816, 392251, 0): 81.513, (33344809, 2423479559, 0): 80.743}",7
33344816,33344817,0,"LINESTRING (16.3435543 48.2264915, 16.3428535 48.2265563, 16.3427662 48.2265618, 16.3423434 48.2266001, 16.3422558 48.2266087)",2,"{(2423479559, 33344816, 0): 177.23499999999999, (33344817, 33345293, 0): 179.587, (401838, 33344817, 0): 93.569, (33344817, 25280685, 0): 94.783, (33344816, 392251, 0): 101.252}",0
33344817,33345293,0,"LINESTRING (16.3422558 48.2266087, 16.3421515 48.2266197, 16.3418733 48.2266592, 16.341603 48.2267031, 16.3414749 48.2267214, 16.3410712 48.2267808, 16.3407923 48.2268228, 16.3406794 48.226844)",2,"{(33344816, 33344817, 0): 179.587, (33345293, 251523470, 0): 175.40699999999998, (401838, 33344817, 0): 86.844, (33344817, 25280685, 0): 84.804, (33345293, 30696019, 0): 72.055, (60631071, 33345293, 0): 109.375}",7
33345293,251523470,0,"LINESTRING (16.3406794 48.226844, 16.3406074 48.2268636, 16.340538 48.2268869, 16.3403962 48.2269363, 16.33956 48.2272364, 16.3392719 48.2273404, 16.3392588 48.2273449, 16.3390719 48.2274093, 16.3389088 48.227454)",2,"{(33344817, 33345293, 0): 175.40699999999998, (251523470, 33345291, 0): 177.55800000000002, (251523470, 33345297, 0): 94.357, (33345293, 30696019, 0): 103.352, (60631071, 33345293, 0): 75.218}",0
251523470,33345291,0,"LINESTRING (16.3389088 48.227454, 16.3386443 48.2275145)",2,"{(33345293, 251523470, 0): 177.55800000000002, (251523470, 33345297, 0): 83.201, (33345321, 33345291, 0): 76.52600000000001, (33345291, 1850015446, 0): 178.764}",0
1850015446,3337813458,0,"LINESTRING (16.3364564 48.2280317, 16.3363901 48.2280507, 16.3362963 48.2280864)",2,"{(1850015446, 33345289, 0): 90.559, (33345291, 1850015446, 0): 178.365, (3337813458, 64975949, 0): 170.988, (3337813458, 30696018, 0): 26.363}",6
64975949,393375,0,"LINESTRING (16.3350633 48.2283251, 16.3349162 48.2283544, 16.3346608 48.2283981)",2,"{(393375, 29048460, 0): 176.60399999999998, (64975949, 33345310, 0): 87.79, (3337813458, 64975949, 0): 179.98999999999998, (287914700, 393375, 0): 18.515}",2
393375,29048460,0,"LINESTRING (16.3346608 48.2283981, 16.3341565 48.2284539)",2,"{(64975949, 393375, 0): 176.60399999999998, (29048460, 64975131, 0): 179.077, (33345320, 29048460, 0): 113.197, (287914700, 393375, 0): 164.881}",0
29048460,64975131,0,"LINESTRING (16.3341565 48.2284539, 16.3340746 48.2284643, 16.3330993 48.2285887)",2,"{(64975131, 60957703, 0): 65.881, (393375, 29048460, 0): 179.077, (64975131, 64975746, 0): 178.28900000000002, (33345320, 29048460, 0): 67.726}",0
64975131,64975746,0,"LINESTRING (16.3330993 48.2285887, 16.3330183 48.2286015, 16.3325119 48.2286812, 16.3322871 48.2287235)",2,"{(64975131, 60957703, 0): 112.408, (29048460, 64975131, 0): 178.28900000000002, (64975746, 64975551, 0): 112.738}",2
64975746,64975551,0,"LINESTRING (16.3322871 48.2287235, 16.3313778 48.2273442, 16.3313451 48.2272904)",2,"{(64975131, 64975746, 0): 112.738, (64975551, 29048472, 0): 179.59799999999998, (64975551, 33345319, 0): 75.229}",2
64975551,29048472,0,"LINESTRING (16.3313451 48.2272904, 16.3310255 48.2267728, 16.330864 48.2264999, 16.3308169 48.2264269, 16.3308107 48.2264173)",2,"{(64975746, 64975551, 0): 179.59799999999998, (29048472, 64971266, 0): 179.562, (29048472, 64969715, 0): 75.679, (64975551, 33345319, 0): 105.173}",1
